Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя
Базовое_масло_1,03004.23,"Массовая доля серы, ASTM D6481",% масс,0.0002
Базовое_масло_1,03004.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0001
Базовое_масло_1,03004.23,"Массовая доля цинка, ASTM D6481",% масс,0.0001
Базовое_масло_1,03004.23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_1,03004.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_1,03004.23,Последовательность 3 | ASTM D892,см³,50
Базовое_масло_1,03004.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-24
Детергент_1,03203.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,88.91
Детергент_1,03203.23,"Массовая доля кальция, ASTM D6481",% масс,16.24
Детергент_1,03203.23,"Щелочное число, ASTM D2896",мг KOH/г,404
Дисперсант_3,01030.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,186.1
Дисперсант_3,01030.23,"Массовая доля кальция, ASTM D6481",% масс,0.002
Дисперсант_3,01030.23,"Массовая доля серы, ASTM D6481",% масс,0.048
Дисперсант_3,01030.23,"Массовая доля фосфора, ASTM D6481",% масс,0.002
Дисперсант_3,01030.23,"Массовая доля цинка, ASTM D6481",% масс,0.0001
Дисперсант_3,01030.23,"Щелочное число, ASTM D2896",мг KOH/г,21
Дисперсант_2,01025.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,417.9
Дисперсант_2,01025.23,"Массовая доля кальция, ASTM D6481",% масс,0.0009
Дисперсант_2,01025.23,"Массовая доля серы, ASTM D6481",% масс,0.0027
Дисперсант_2,01025.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0007
Дисперсант_2,01025.23,"Массовая доля цинка, ASTM D6481",% масс,0.0002
Дисперсант_2,01025.23,"Щелочное число, ASTM D2896",мг KOH/г,17.5
Антиоксидант_9,03606.23(2023101002),,,
Загуститель_3,03277.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,439.8
Базовое_масло_1,03616.23,Деэм.вода | ASTM D1401,мл,39
Базовое_масло_1,03616.23,Деэм.время | ASTM D1401,мин,5
Базовое_масло_1,03616.23,Деэм.масло | ASTM D1401,мл,41
Базовое_масло_1,03616.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_1,03616.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,527
Базовое_масло_1,03616.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,827
Базовое_масло_1,03616.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1350
Базовое_масло_1,03616.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2365
Базовое_масло_1,03616.23,"Индекс вязкости, ГОСТ 25371",–,111
Базовое_масло_1,03616.23,"Испаряемость по NOACK, ASTM D5800",%,15.1
Базовое_масло_1,03616.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.4
Базовое_масло_1,03616.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.47
Базовое_масло_1,03616.23,"Массовая доля кальция, ASTM D6481",% масс,0.0002
Базовое_масло_1,03616.23,"Массовая доля серы, ASTM D6481",% масс,0.0006
Базовое_масло_1,03616.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0001
Базовое_масло_1,03616.23,"Массовая доля цинка, ASTM D6481",% масс,0.0001
Базовое_масло_1,03616.23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_1,03616.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_1,03616.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_1,03616.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-24
Соединение_молибдена_3,COMP-2024-M,,,
Депрессорная_присадка_1,DPM 265 от 12.08.202,"Плотность при 15°С, ASTM D4052",кг/м³,885.5
Депрессорная_присадка_1,DPM 265 от 12.08.202,"Плотность при 20°С, ASTM D4052",кг/м³,882.2
Антипенная_присадка_1,12 от 13.05.2024,,,
Базовое_масло_14,Р-10 от 13.05.2024,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,4
Базовое_масло_14,Р-10 от 13.05.2024,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,2
Базовое_масло_14,Р-10 от 13.05.2024,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,4
Базовое_масло_14,Р-10 от 13.05.2024,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,5.01
Базовое_масло_14,Р-10 от 13.05.2024,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.02
Базовое_масло_14,Р-10 от 13.05.2024,"Плотность при 15°С, ASTM D4052",кг/м³,801.4
Базовое_масло_14,Р-10 от 13.05.2024,"Плотность при 20°С, ASTM D4052",кг/м³,798
Базовое_масло_1,03197.24,,,
Базовое_масло_5,03159.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,3500
Базовое_масло_5,03159.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,7036
Базовое_масло_5,03159.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,14173
Базовое_масло_5,03159.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,56.57
Базовое_масло_5,03159.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,8.303
Детергент_1,03052.24,"Массовая доля кальция, ASTM D6481",% масс,14.71
Детергент_1,03052.24,"Щелочное число, ASTM D2896",мг KOH/г,377.7
Загуститель_1,02344.24 10.3% в 2гр,,,
Противоизносная_присадка_1,0812.24,,,
Антиоксидант_3,с ЦП 28.02.2024г,,,
Детергент_7,03229.24,"Массовая доля кальция, ASTM D6481",% масс,2.484
Детергент_7,03229.24,"Массовая доля фосфора, ASTM D6481",% масс,2.873
Детергент_7,03229.24,"Массовая доля цинка, ASTM D6481",% масс,0.0344
Детергент_4,14558.22,"Массовая доля кальция, ASTM D6481",% масс,5.48
Детергент_4,14558.22,"Массовая доля фосфора, ASTM D6481",% масс,0.888
Детергент_4,14558.22,"Массовая доля цинка, ASTM D6481",% масс,1.127
Депрессорная_присадка_2,п.35,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,400
Базовое_масло_10,0771.22,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_10,0771.22,Деэм.время | ASTM D1401,мин,5
Базовое_масло_10,0771.22,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_10,0771.22,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_10,0771.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,517
Базовое_масло_10,0771.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,838
Базовое_масло_10,0771.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1397
Базовое_масло_10,0771.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2488
Базовое_масло_10,0771.22,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4604
Базовое_масло_10,0771.22,"Индекс вязкости, ГОСТ 25371",–,112
Базовое_масло_10,0771.22,"Испаряемость по NOACK, ASTM D5800",%,14.3
Базовое_масло_10,0771.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.979
Базовое_масло_10,0771.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.544
Базовое_масло_10,0771.22,"Массовая доля кальция, ASTM D6481",% масс,0.00015
Базовое_масло_10,0771.22,"Массовая доля серы, ASTM D6481",% масс,0.00023
Базовое_масло_10,0771.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00002
Базовое_масло_10,0771.22,"Массовая доля цинка, ASTM D6481",% масс,0.00002
Базовое_масло_10,0771.22,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_10,0771.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_10,0771.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_10,0771.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-23
Детергент_1,33444.21,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,109.92
Детергент_1,33444.21,"Массовая доля кальция, ASTM D6481",% масс,15.39
Детергент_1,33444.21,"Щелочное число, ГОСТ 11362",мг KOH/г,391.6
Детергент_1,33444.21,"Щелочное число, ASTM D2896",мг KOH/г,406.34
Загуститель_1,"01007.22 (8,2%)","Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,339.6
